championName,reset,banNumber,winningPercentage,year,teamTag
Alistar,All-Objects,10,less than 50%,2016,SKT
Ashe,All-Objects,3,less than 50%,2016,SKT
AurelionSol,All-Objects,12,less than 50%,2016,SKT
Azir,All-Objects,7,less than 50%,2016,SKT
Bard,All-Objects,10,less than 50%,2016,SKT
Braum,All-Objects,2,less than 50%,2016,SKT
Caitlyn,All-Objects,7,less than 50%,2016,SKT
Corki,All-Objects,5,less than 50%,2016,SKT
Ekko,All-Objects,9,less than 50%,2016,SKT
Elise,All-Objects,6,less than 50%,2016,SKT
Fiora,All-Objects,7,less than 50%,2016,SKT
Fizz,All-Objects,1,less than 50%,2016,SKT
Gangplank,All-Objects,18,less than 50%,2016,SKT
Gr,All-Objects,2,less than 50%,2016,SKT
Gragas,All-Objects,6,less than 50%,2016,SKT
Hecarim,All-Objects,3,less than 50%,2016,SKT
Irelia,All-Objects,1,more than 50%,2016,SKT
Jayce,All-Objects,8,more than 50%,2016,SKT
Jhin,All-Objects,1,more than 50%,2016,SKT
Kalista,All-Objects,5,more than 50%,2016,SKT
Karma,All-Objects,1,more than 50%,2016,SKT
Kennen,All-Objects,1,more than 50%,2016,SKT
Kindred,All-Objects,9,more than 50%,2016,SKT
KogMaw,All-Objects,6,more than 50%,2016,SKT
Leblanc,All-Objects,6,more than 50%,2016,SKT
LeeSin,All-Objects,4,more than 50%,2016,SKT
Lissandra,All-Objects,13,more than 50%,2016,SKT
Lucian,All-Objects,3,more than 50%,2016,SKT
Lulu,All-Objects,3,more than 50%,2016,SKT
Malzahar,All-Objects,1,more than 50%,2016,SKT
Maokai,All-Objects,4,more than 50%,2016,SKT
MissFortune,All-Objects,3,more than 50%,2016,SKT
Nidalee,All-Objects,73,more than 50%,2016,SKT
Olaf,All-Objects,4,more than 50%,2016,SKT
Poppy,All-Objects,11,more than 50%,2016,SKT
RekSai,All-Objects,4,more than 50%,2016,SKT
Ryze,All-Objects,25,more than 50%,2016,SKT
Shen,All-Objects,14,more than 50%,2016,SKT
Sivir,All-Objects,3,more than 50%,2016,SKT
Soraka,All-Objects,2,more than 50%,2016,SKT
Syndra,All-Objects,4,more than 50%,2016,SKT
Taliyah,All-Objects,8,more than 50%,2016,SKT
Taric,All-Objects,2,more than 50%,2016,SKT
Thresh,All-Objects,5,more than 50%,2016,SKT
Trundle,All-Objects,4,more than 50%,2016,SKT
TwistedFate,All-Objects,2,more than 50%,2016,SKT
Twitch,All-Objects,6,more than 50%,2016,SKT
Varus,All-Objects,11,more than 50%,2016,SKT
Viktor,All-Objects,9,more than 50%,2016,SKT
Viktor,All-Objects,16,more than 50%,2016,SKT
Vladimir,All-Objects,16,more than 50%,2016,SKT
Zac,All-Objects,2,more than 50%,2016,SKT
Zed,All-Objects,7,more than 50%,2016,SKT
Zilean,All-Objects,7,more than 50%,2016,SKT
Zyra,All-Objects,2,more than 50%,2016,SKT
null,All-Objects,1,more than 50%,2016,SKT
