championName,reset,banNumber,winningPercentage,,year,teamTag
Ahri,allChampion,1,less than 50%,,2017,SKT
Ashe,allChampion,1,less than 50%,,2017,SKT
AurelionSol,allChampion,7,less than 50%,,2017,SKT
Azir,allChampion,6,less than 50%,,2017,SKT
Caitlyn,allChampion,1,less than 50%,,2017,SKT
Cassiopeia,allChampion,1,less than 50%,,2017,SKT
Camille,allChampion,22,less than 50%,,2017,SKT
Ekko,allChampion,2,less than 50%,,2017,SKT
Elise,allChampion,8,less than 50%,,2017,SKT
Fizz,allChampion,3,less than 50%,,2017,SKT
Gangplank,allChampion,1,less than 50%,,2017,SKT
Grraves,allChampion,10,less than 50%,,2017,SKT
Gragas,allChampion,1,less than 50%,,2017,SKT
Ivern,allChampion,1,less than 50%,,2017,SKT
Jayce,allChampion,11,less than 50%,,2017,SKT
Jhin,allChampion,3,less than 50%,,2017,SKT
Jinx,allChampion,5,more than 50%,,2017,SKT
Kennen,allChampion,10,more than 50%,,2017,SKT
Kled,allChampion,3,more than 50%,,2017,SKT
Khaix,allChampion,3,more than 50%,,2017,SKT
Leblanc,allChampion,20,more than 50%,,2017,SKT
LeeSin,allChampion,1,more than 50%,,2017,SKT
Lissandra,allChampion,1,more than 50%,,2017,SKT
Lulu,allChampion,6,more than 50%,,2017,SKT
Malzahar,allChampion,18,more than 50%,,2017,SKT
Maokai,allChampion,5,more than 50%,,2017,SKT
MissFortune,allChampion,9,more than 50%,,2017,SKT
Orian,allChampion,1,more than 50%,,2017,SKT
Olaf,allChampion,2,more than 50%,,2017,SKT
Poppy,allChampion,3,more than 50%,,2017,SKT
RekSai,allChampion,1,more than 50%,,2017,SKT
Renekton,allChampion,3,more than 50%,,2017,SKT
Rengar,allChampion,9,more than 50%,,2017,SKT
Rumble,allChampion,9,more than 50%,,2017,SKT
Ryze,allChampion,9,more than 50%,,2017,SKT
Shen,allChampion,10,more than 50%,,2017,SKT
Sion,allChampion,3,more than 50%,,2017,SKT
Syndra,allChampion,10,more than 50%,,2017,SKT
Taliyah,allChampion,10,more than 50%,,2017,SKT
Talon,allChampion,1,more than 50%,,2017,SKT
Thresh,allChampion,4,more than 50%,,2017,SKT
Urgot,allChampion,9,more than 50%,,2017,SKT
Varus,allChampion,15,more than 50%,,2017,SKT
Zyra,allChampion,6,more than 50%,,2017,SKT
